2024
-122.5, 0, 0
15, 0, 116
22.5, 0, 212
19, 0, 256
14, 0, 372
18.5, 0, 1012
15, 0, 1622
23.5, 0, 1750
9.5, 1, 850
24, 1, 1070
11.5, 1, 1414
15.5, 1, 1460
123, 2, 2
17.5, 2, 694
6.5, 3, 204
2, 3, 1602
18.5, 3, 1638
14, 3, 1736
118, 4, 4
5.5, 5, 104
21.5, 5, 618
10, 5, 830
9, 5, 1180
2.5, 5, 1206
6, 5, 1342
7.5, 5, 1610
8, 5, 1706
23.5, 5, 1746
161, 6, 6
16, 6, 598
8, 6, 1000
12, 7, 218
1, 7, 848
20, 7, 1550
1.5, 7, 1648
11.5, 7, 1684
3.5, 7, 1834
16, 7, 1980
17, 7, 1996
219.5, 8, 8
20.5, 8, 16
11, 8, 840
10, 8, 1006
8, 8, 1498
23.5, 8, 1830
21.5, 8, 2018
8, 9, 1556
243.5, 10, 10
18.5, 10, 88
15, 10, 148
8.5, 10, 536
13, 10, 1060
17.5, 10, 1486
10.5, 10, 1522
22, 10, 1570
3, 10, 1640
21, 11, 1034
4.5, 11, 1582
154, 12, 12
4.5, 12, 290
4.5, 12, 864
3, 12, 1488
4, 12, 1748
25.5, 13, 534
16, 13, 664
24.5, 13, 828
19.5, 13, 1008
14.5, 13, 1280
13, 13, 1462
20, 13, 1682
203, 14, 14
12.5, 14, 106
8.5, 14, 378
1.5, 14, 466
9, 15, 182
7, 15, 430
5, 15, 1076
9, 15, 1624
8, 15, 1638
17.5, 15, 1730
24, 15, 1774
247, 16, 16
18, 16, 234
6.5, 16, 420
24.5, 16, 434
4, 16, 702
3.5, 16, 786
211.5, 18, 18
21, 18, 404
22.5, 18, 506
4, 18, 990
2, 18, 1378
12.5, 18, 1404
7, 18, 1648
17, 18, 1912
125, 20, 20
18, 20, 866
20.5, 21, 162
9.5, 21, 244
8, 21, 1100
24, 21, 1622
4.5, 21, 1964
129, 22, 22
21, 22, 212
14, 23, 622
2, 23, 1172
6.5, 23, 1290
23.5, 23, 1460
9, 23, 1662
152, 24, 24
13.5, 24, 1290
22, 25, 440
17, 25, 1862
22, 26, 18
212.5, 26, 26
19.5, 26, 246
3, 26, 1312
9, 26, 1650
8.5, 27, 340
10, 27, 524
206, 28, 28
22, 28, 394
8, 28, 706
1, 28, 1440
20.5, 29, 1666
226, 30, 30
17.5, 30, 92
17.5, 30, 1034
20.5, 30, 1494
23.5, 30, 1950
12, 31, 1870
275, 32, 32
22, 32, 84
14, 32, 1376
6.5, 32, 1476
25.5, 32, 1990
24, 32, 2000
16, 33, 1546
233, 34, 34
19, 34, 302
21, 34, 1806
9.5, 35, 32
4, 35, 136
17, 35, 936
7, 35, 1706
16, 35, 1730
23.5, 35, 1810
248.5, 36, 36
21.5, 36, 950
6, 36, 1008
10, 36, 1414
21.5, 36, 1470
1, 36, 1472
12.5, 36, 1542
9, 37, 916
264, 38, 38
15, 38, 844
25.5, 38, 1026
5.5, 38, 1214
10.5, 38, 1286
2.5, 38, 1340
25.5, 38, 1368
24.5, 38, 1408
24.5, 38, 1962
10, 39, 194
6.5, 39, 924
15, 39, 1228
6, 39, 1230
2.5, 39, 1878
155.5, 40, 40
8, 40, 1546
23.5, 40, 1614
12.5, 41, 358
23.5, 41, 396
11, 41, 1158
10, 41, 1276
25.5, 41, 1712
23, 41, 2000
204, 42, 42
3.5, 42, 440
6.5, 42, 506
6, 42, 514
12, 42, 1460
11, 42, 1600
14, 43, 548
14, 43, 1804
156.5, 44, 44
12, 44, 1556
24.5, 45, 16
15.5, 45, 640
25.5, 45, 1066
24.5, 45, 1864
15, 45, 1970
150, 46, 46
12, 46, 182
9, 46, 1118
9, 46, 1214
12, 47, 238
25, 47, 276
23, 47, 680
5, 47, 930
24, 47, 1146
10, 47, 1922
254.5, 48, 48
2.5, 48, 988
13, 48, 1198
24, 48, 1318
6, 48, 1636
7, 48, 1748
10, 48, 1826
21, 48, 1876
10.5, 49, 808
12, 49, 1150
10, 49, 1772
18.5, 49, 1884
258.5, 50, 50
3, 50, 550
11.5, 50, 1182
6.5, 50, 1638
25, 50, 1680
15.5, 51, 282
15.5, 51, 1578
195, 52, 52
24.5, 52, 388
15.5, 52, 1600
2.5, 52, 1968
13, 53, 524
15, 53, 560
18, 53, 950
3.5, 53, 1530
3.5, 53, 1542
147.5, 54, 54
13.5, 54, 866
12.5, 54, 1572
15.5, 55, 560
11, 55, 1154
9.5, 55, 1658
18.5, 55, 1928
175, 56, 56
17, 56, 70
21, 56, 1214
9.5, 56, 1686
4, 57, 776
112, 58, 58
11.5, 58, 1740
12.5, 59, 484
23.5, 59, 1014
19, 59, 1058
171, 60, 60
18, 60, 580
25, 60, 1194
16, 60, 1676
3.5, 61, 460
126.5, 62, 62
13.5, 62, 774
12.5, 62, 1806
22, 63, 378
19.5, 63, 676
7.5, 63, 736
17.5, 63, 914
19, 63, 1178
20.5, 63, 1688
23, 63, 1802
186.5, 64, 64
23.5, 64, 1404
16.5, 64, 1746
17.5, 65, 172
24.5, 65, 1256
4, 65, 1522
16, 65, 1590
4.5, 65, 1872
11, 65, 1920
122.5, 66, 66
22, 66, 1822
12.5, 67, 666
25, 67, 676
5, 67, 906
5.5, 67, 930
13.5, 68, 34
204.5, 68, 68
11, 68, 232
12, 68, 868
20.5, 69, 368
22, 69, 766
5, 69, 1570
176, 70, 70
8, 70, 314
21.5, 70, 1464
6, 70, 1722
8.5, 71, 50
24, 71, 98
16.5, 71, 100
23, 71, 354
22, 71, 816
5.5, 71, 826
18, 71, 890
138.5, 72, 72
20.5, 72, 388
2, 73, 562
8.5, 73, 622
10.5, 73, 910
3, 73, 1598
20, 73, 1824
205, 74, 74
20.5, 74, 688
11, 74, 694
1.5, 74, 972
22, 74, 994
6, 74, 1596
6.5, 75, 382
8, 75, 994
8, 75, 1900
167, 76, 76
23.5, 76, 460
3.5, 76, 1232
23.5, 77, 696
15, 77, 1824
8, 77, 1912
260, 78, 78
17.5, 78, 1502
3.5, 78, 1654
19.5, 78, 1834
8.5, 79, 152
10.5, 79, 236
21, 79, 290
13.5, 79, 578
20.5, 79, 1022
6, 79, 1154
1, 80, 52
165, 80, 80
24, 80, 454
16.5, 80, 482
12.5, 80, 762
23, 81, 288
8.5, 81, 1584
19, 81, 1792
25.5, 81, 1812
139.5, 82, 82
6, 82, 666
21, 82, 1166
23, 83, 398
17, 83, 514
9.5, 83, 786
9, 83, 990
22.5, 83, 1102
6, 83, 1214
23.5, 84, 54
260, 84, 84
25.5, 84, 294
18, 84, 466
11.5, 84, 738
8.5, 84, 1158
17.5, 84, 1576
20, 84, 1748
15, 85, 1800
8.5, 85, 1818
20.5, 86, 42
212, 86, 86
15.5, 86, 332
8.5, 86, 530
22, 86, 634
3, 86, 712
17.5, 86, 1904
7, 87, 1102
22, 87, 1226
12.5, 87, 1862
144.5, 88, 88
1.5, 88, 862
3.5, 88, 1260
6.5, 88, 1436
17, 88, 1838
8.5, 89, 910
20.5, 89, 1646
