2024
15, 0, 116
22.5, 0, 212
19, 0, 256
14, 0, 372
18.5, 0, 1012
15, 0, 1622
23.5, 0, 1750
9.5, 1, 850
24, 1, 1070
19.5, 1, 1306
11.5, 1, 1414
15.5, 1, 1460
302, 2, 2
5, 2, 230
17.5, 2, 694
3, 2, 1540
1.5, 2, 1926
6.5, 3, 204
15, 3, 904
22, 3, 974
2, 3, 1602
18.5, 3, 1638
14, 3, 1736
382, 4, 4
12.5, 4, 206
9, 4, 1316
22, 4, 1584
14, 4, 1642
20.5, 4, 1692
12, 4, 2010
5.5, 5, 78
5.5, 5, 104
21.5, 5, 618
3, 5, 804
10.5, 5, 812
10, 5, 830
9, 5, 1180
2.5, 5, 1206
6, 5, 1342
16, 5, 1392
7.5, 5, 1610
8, 5, 1706
23.5, 5, 1746
275, 6, 6
12.5, 6, 100
16, 6, 598
8, 6, 1000
12, 7, 218
1, 7, 848
14, 7, 1322
20, 7, 1550
1.5, 7, 1648
11.5, 7, 1684
3.5, 7, 1834
16, 7, 1980
17, 7, 1996
332.5, 8, 8
20.5, 8, 16
11, 8, 840
10, 8, 1006
8, 8, 1498
23.5, 8, 1830
21.5, 8, 2018
17, 9, 164
3.5, 9, 240
17.5, 9, 1260
8, 9, 1556
19.5, 9, 2010
384.5, 10, 10
18.5, 10, 88
15, 10, 148
8.5, 10, 536
15, 10, 788
13, 10, 1060
25.5, 10, 1224
17.5, 10, 1486
10.5, 10, 1522
22, 10, 1570
3, 10, 1640
9, 11, 544
21, 11, 1034
4.5, 11, 1582
21.5, 11, 2006
362, 12, 12
4.5, 12, 290
23, 12, 398
4.5, 12, 864
3, 12, 1488
4, 12, 1748
1.5, 13, 54
25.5, 13, 534
16, 13, 664
5, 13, 746
24.5, 13, 828
19.5, 13, 1008
14.5, 13, 1280
8.5, 13, 1376
13, 13, 1462
20, 13, 1682
4, 13, 2006
385.5, 14, 14
12.5, 14, 106
8.5, 14, 378
7, 14, 412
1.5, 14, 466
22.5, 14, 1686
16, 15, 68
12.5, 15, 176
9, 15, 182
7, 15, 430
2, 15, 470
9.5, 15, 850
5, 15, 1076
9, 15, 1624
8, 15, 1638
17.5, 15, 1730
24, 15, 1774
9.5, 15, 1806
434, 16, 16
10, 16, 108
18, 16, 234
6.5, 16, 420
24.5, 16, 434
4, 16, 702
3.5, 16, 786
22, 16, 886
2, 16, 1848
437.5, 18, 18
23, 18, 90
11.5, 18, 256
21, 18, 404
22.5, 18, 506
4.5, 18, 674
4, 18, 990
2, 18, 1378
12.5, 18, 1404
7, 18, 1648
17, 18, 1912
8.5, 18, 1976
359, 20, 20
16.5, 20, 378
22.5, 20, 624
21, 20, 672
18, 20, 866
16, 20, 868
12.5, 20, 1346
3.5, 20, 1568
20.5, 21, 162
9.5, 21, 244
8, 21, 1100
24, 21, 1622
4.5, 21, 1964
358.5, 22, 22
24.5, 22, 168
21, 22, 212
20.5, 22, 428
21, 22, 718
24.5, 22, 1030
14, 23, 214
14, 23, 622
12.5, 23, 794
2, 23, 1172
6.5, 23, 1290
23.5, 23, 1460
24, 23, 1578
9, 23, 1662
10.5, 23, 1724
268.5, 24, 24
13.5, 24, 1290
16, 24, 1540
22, 25, 440
20.5, 25, 776
11, 25, 1156
17, 25, 1862
22, 26, 18
338, 26, 26
19.5, 26, 246
3, 26, 1312
9, 26, 1650
8.5, 27, 340
10, 27, 524
396, 28, 28
22, 28, 394
8, 28, 706
22.5, 28, 780
3.5, 28, 814
17.5, 28, 1336
1, 28, 1440
9, 29, 170
20.5, 29, 1666
